wallet_address,total_reward,solved_predictions
0xAc35916aa0f45ebcb9987F1bF3386404b3D24cBD,0.0800,1
0xa4F8322E04f38F1B60E44f3f5E9B0a54f34d3aF2,7.5500,2
0x35DbbECd845bd33e934B4049A9E252C1aba9B8DF,7.8100,7
0xfBaa7F884cc9613649cDfc5dDb0C4b56637322aa,0.6800,2
0xDa31721fD25865B00D729E31BCbf377f1e15c495,0.4300,1
0x55a2dF7E3de0bEd08B167f54C4b68c0b8E409760,0.3000,3
0x777CC87AC71a900D3829c3D696DE1CDfD3203996,0.6800,2
0x92B91f8456F1f73D29a6a8ca2Fa7201b18863D7F,0.2500,1
0x2BFfA4b20253C8644bf0C9f1Ab737Ea398EA5298,1.0000,2
0x48a0096B26fe285138b294aFe0Eb1DD705071dcA,0.9300,3
0x3770A67cd6c98b21aaE3302C8cd45A5cee15c955,0.2400,5
0x786726c6FC16397a645A1Ad95bb7D0552de75854,11.4500,6
0xCd57F900515B856d3a069c74c10E63FcAD1b4B48,0.3300,1
0x7Be5D302bE7592A3763d087369355d762FB61739,8.9400,1
0x2EeDF08b249B86C51D20F6045fD0EEf4F7Cf186d,1.9600,4
0x9849a5dc7386aB30EcdD247534E95C9d2Fa6fe0e,1.5300,2
0xe8a718296Edcd56132A2de6045965dDDA8f7176B,5.7500,4
0xB2A78053506cDee6bDb9a2797E49F32dfC52c6EF,13.6700,8
0x32a5344dF0Ac9D60e47029D450D3AbF346CFC9CD,0.8400,2
0xf5FA43574a8B848759B1ed9F1A1a1b316Aa406d6,98.3400,6
0xc84c0F515Db41d4a5fBEC17F9056aE00a0a55665,2.4200,2
0x571C9B09aFe7248421563e7958459413B3af98fc,0.3300,2
0x94c4c930C66a7B5FfA26a3c5E7cA7b9B40560Cc1,46.2100,12
0xda879384B0FEE3D438871D64fF158c950C08fbCb,0.9200,2
0x41C3B4068fF46c6fb8CCB7665c09b13251BDE0D1,0.5700,2
0x23Fa27ca1F139097656864293534a23a69006d60,0.0800,1
0xe85934F643A79a70cc19b99425e91AdaA82f4A41,0.7600,2
0x44bE58c29B58c1EB1f60517CB5FD82c05d40bc9E,0.4700,7
0xBcDe1539c8dd6c98fD2b209650085116d9ada195,0.9500,2
0xBEd3F3f19BF5D219a34ECae7be55d18B691917D2,2.0100,1
0xE4dbc1dc653f0a8C186b40A92e7a94A9ab2E7250,0.3100,1
0xe60362529AbdAF4bEC9784594395D70dcaaFEb69,0.8900,3
0xdc49BE7d4306eBA78d3a318A4B543E75dd0cF1f1,0.3300,2
0x8659D5631409E9a9D9a16C38E5302F8Ba9BaA9d4,0.2700,6
0xf4aD628abC7DEB4bA5A6E9e658993C6B0E535405,27.8400,3
0x22fbaB2c330bc6D92173e283463A1AB14ADD6A39,0.3300,2
0x692Ee4DbE15aA4D48C73DBdb5b9EC8E72cc95B15,0.2200,2
0x975598679aA65023E2DB9fc6Fd367743c2F92927,3.8000,5
0xec71AC5A35CA64cb9C07C2F97e733918b4d04eA2,4.2400,1
0xe17E85E91B3c04025bAF4dd23AdCEdC7a7e7cE12,1.5300,2
0xBde993AC96D58dcd33276Cbbee614f7C7cfB8a48,0.5400,3
0x06B1F373768D2e503f5dbcb35989A8e2794673E4,0.5100,2
0xD4145aEA34265a896fa433146Fe1745129fb5C4C,3.6900,3
0x3d39DEb473d122EacCb4Ef782644aB91EA21DF97,6.6400,2
0x694a3F28758268DE9f5a181CF642a62f4b0F8C43,1.7300,3
0x334eB3Ef3F8Ff784d60dDcD13CB2Ed8c0DB8B853,0.6800,4
0xeE6593620e6743C1B5290397dA9D693A2F6Afa8A,3.0400,2
0xE6706a4FcA1374B514CF22d855D9d8CfE16421Cc,0.1000,1
0x4c3d5af0e7806D5d400f0E555b7B88120e7805ef,1.5400,1
0x46eD73210B9CcB8e746463Ad3A383398f5f33000,0.1700,1
0x5F6bdca4F573FF1713D8A7726f8e3f0539c099FA,5.5900,2
0x19Bf4fE746c370E2930cD8C1b3DcFA55270c8eD7,0.9200,3
0x01a1d2750B2c7aad954698c1E9596F5CcaBdd265,21.1900,1
0xbED78F7c072f2D14B872b1a1d032b381802AB0E6,0.1700,1
0x08dF8038f91418EFb5571F9F51D084bEb0ed0cb8,1.1100,1
0x0Bec6Fb63A1D95E306fC8da73151e97adcA8d980,0.8300,4
0x4A82610dBF82e8c182d04d3f92Fac4cB56B7fB21,0.6500,2
0x043DaDe7Fc0064C6e55535792BAbAB7179Bcf377,0.0800,1
0xdE28390fd2f40252fD4Dc3869315684b9b0D3F9F,0.1000,1
0x9817B112722B73314b61384a920f5bf57c9F7C5B,0.1600,2
0x56e950bf1108C385E423E9FC459552A65D60320c,0.3200,2
0xDB0b48E505a6Ab7F42e11E112b63dd8D046f8A14,0.2500,1
0x5074c3eC85c7dC747F9b122d873c2c28c575Cf65,0.0600,1
0xc915B37715C06d89284Dc4be3E1DCB1f2DF35d05,0.4300,6
0xD3E4d4Bf274f8A8fF2542959fcdD3C5E112CAb34,0.4400,1
